,Target
7430422623,0
7400925801,0
622544323,0
1153383230,0
7412421800,2
1153956764,0
1053513107,0
748602780,0
636833803,0
1152303134,0
1409295902,0
732220567,0
7394092536,0
7433538322,0
734126714,0
759776736,0
561889064,0
1042369626,0
5389332480,0
7403594793,0
5389120099,0
1142252972,0
334864123,0
3151653136,0
637216072,0
7387265993,0
7299255289,0
1050247664,2
1045868360,2
3109783543,0
1403011244,2
1149200314,0
1149086117,0
1154187007,0
1061488743,0
1144897877,0
1154164073,0
1146375924,0
1152904589,0
636853739,0
1020333217,2
648980459,0
3393303591,0
337256576,0
5428067742,0
633444121,0
1133793276,0
333377691,0
7445390071,0
1149873980,0
1438848753,2
3408568260,0
1164678107,0
1414219022,0
3394523977,0
1151121926,0
323039347,0
346189263,0
365775609,0
831373392,0
5385068047,0
1154222943,0
5409492408,0
510603382,0
1138092696,0
1153192985,0
10151980718,0
1069829967,0
518301092,1
1153179172,1
596146549,0
1220969947,1
1152425908,0
1407608905,0
636571881,0
640195794,0
641310636,0
1035200977,0
612312573,0
470251274,2
4105699534,0
1144244863,2
643829105,0
635714846,0
638040410,0
610857040,1
636138938,1
632987537,0
10447613544,0
823886635,0
819858125,0
819560777,0
89934204,0
810482240,0
620329248,0
713164938,1
363757535,0
639807487,0
108834907,0
732309314,0
645431856,0
636142140,2
642991975,0
1013583067,0
634073976,0
1014364046,0
754041571,0
624155912,0
642097767,0
74679302,0
1016581205,0
123029672,0
1010326726,0
810369749,0
1419672880,0
3434185666,2
811792969,0
814358764,0
3300267925,0
434035933,2
1395989573,0
4434032627,1
491949348,0
1153751776,0
1033207660,0
1154207262,0
1145532856,0
1154264335,0
1154298399,0
7394506170,0
10452570992,0
76991911,0
760496048,0
1034515588,0
1051437032,0
3152134567,0
1410135924,0
1144716782,0
1144027388,0
1138003309,0
1131902859,0
1164928549,0
1143090678,0
359992327,0
3425520264,0
123386518,0
123378378,0
1134529461,0
1154287912,0
124480289,0
1138963229,0
6441099978,0
1154266545,1
1152895244,0
1153489595,0
1153926447,0
636958500,0
1153900862,0
734771334,0
1410546026,0
717051277,0
7438938642,0
6406063437,2
1150976671,0
10393765470,0
7410328779,0
1147316462,0
448810322,0
1402384388,0
1146558902,2
1153922025,0
105363926,2
1151039723,0
742363784,0
7427702100,2
725105573,0
628946300,0
10446936645,0
750882339,0
648548107,0
1033310793,0
515792884,0
6396815688,0
1154275391,1
640226687,0
360622676,0
3424413006,0
121194710,0
10432908242,0
3411749186,0
1145819890,0
1135941525,2
1036838070,2
1154252441,0
1154174941,0
634376173,0
346188128,0
10154391062,0
1152585811,2
1125132138,2
1033936162,0
1146430464,0
1011398615,0
1038268856,0
634142419,0
5123241829,0
1037715907,1
574956239,0
1413356378,0
1153051762,0
5116884572,0
366962358,0
10151396830,0
713544291,0
1154283725,0
1065735790,0
3104524270,0
1420241019,0
564380157,0
3151441283,0
333649912,0
599665369,0
87919425,0
1145970503,0
5124100679,0
1032007954,0
121204221,0
1153870697,0
584957698,0
120835598,0
5115121812,0
5396291388,0
563909407,0
334925762,2
580618711,0
1149090846,0
1152798504,2
760352716,0
7417562836,0
7296583633,0
732148544,0
616685828,0
465444100,0
1153145044,0
452064468,0
1045729229,0
8299385257,0
642402915,0
615266718,0
639470759,0
746026213,0
634870218,0
1019751159,0
3409335468,0
335304365,0
713896975,0
87577723,0
647573685,0
742537857,0
817672221,1
65839616,1
633668761,0
635770689,0
634636096,0
86169400,0
713166674,0
623046579,0
8213036493,0
630447247,0
1414239576,1
1010084284,0
125233687,0
449961145,0
450201551,1
1012859007,0
820802001,0
85821574,0
817420254,0
86817959,0
1010823837,2
819025916,1
10445715690,0
8165067996,0
816558843,0
429072045,0
1143633491,0
1154332922,0
76995899,0
1152301599,0
77698928,0
725591245,0
1428703649,0
116982954,0
1144034471,0
146165540,0
1153125864,0
110666921,0
1152990546,0
1143298671,0
1153990240,0
1153601678,0
1035332346,0
16800144,0
15668337,0
346049485,0
155453783,0
632255836,0
648193731,0
623629187,0
1010361950,0
1406858588,1
1455960283,2
1153227632,0
1153220037,0
1145820286,0
6164974321,0
7454718934,0
1134621230,0
638656700,0
1148710846,0
107556810,0
6377662431,0
7437911224,0
6386150925,0
1132984841,0
10154178035,0
1152578505,0
1420462235,0
10444739497,0
1138934415,0
1152572591,0
10445587968,2
10427089371,0
1153945080,0
1154347351,0
1027908926,2
632409312,0
7394257037,0
7407522038,0
1153878848,0
1153820025,0
79072083,0
734358360,0
638166082,0
486029772,0
1050020461,2
737908422,0
10124976901,0
5388162988,0
1031443303,0
7410825198,0
7409994287,0
649051937,0
7418475748,0
123375881,0
123380126,0
628395332,0
1151272235,0
10447189465,1
1154018757,0
1140378584,2
734687806,0
1153082849,0
1153417067,0
1153071793,0
337917429,1
1035353315,0
1154215516,0
1037511015,0
1154124801,0
3112407904,0
6407691513,0
3212935311,1
3101542299,0
629972421,0
1153947645,1
1152421077,0
336091659,0
646304794,0
1063787088,0
382223431,0
639942497,2
374646591,1
155064636,0
1153448343,0
1064911838,2
1146874726,0
3110438235,0
374480222,0
1153026752,0
10151571454,0
1410726659,0
1143769513,0
361585025,0
3404285127,0
1147044164,0
590532719,0
1152643695,0
1134689466,0
5124422477,0
5119547306,0
3151561108,0
1064192870,0
1379888353,0
1127339943,0
1380581873,0
634795762,0
637731143,0
647710172,0
69705176,0
642840720,0
719148629,0
738888218,0
644170649,0
1154150422,0
643840853,0
1125864515,0
65838747,0
643406307,2
65224879,0
612905122,0
634302371,0
630433103,0
812144913,0
1036209685,2
8437784040,0
736190517,0
810537687,0
8403344867,0
821652654,0
1040898302,2
10298066193,2
818229969,0
830719139,0
377989229,0
635770750,0
1035508472,0
747669339,0
829488169,0
620331395,1
414987567,0
1011254405,0
85823318,0
811690885,0
107927374,0
108836474,0
88361565,0
373128695,0
89250539,0
1019753730,0
10444064550,2
450120581,0
437491529,0
821476656,0
88692129,0
1152398476,0
750785246,0
750305916,0
758743846,0
743096804,0
750693069,0
7299250178,0
760272700,0
752619419,0
1133047828,0
1150480269,0
562699448,0
528916394,0
561997600,0
117727369,0
16422498,0
1154305106,0
1148890752,0
127681653,0
1413840662,2
78810665,0
1151240350,0
3151908384,0
6379434409,0
10441639616,0
1154054762,0
632394868,0
1381583807,0
6165041003,0
1033003090,0
632580065,0
10430233485,0
632921290,0
7413030560,0
1380239191,2
728272423,0
1153037495,1
737201618,0
1148922839,0
1039979960,2
7435864305,0
1141640834,0
1394123150,2
1154241881,0
483742885,0
439780201,2
637452959,0
1141116048,0
1148477652,0
630979445,0
639527932,0
1150678066,1
7384789623,0
4108840401,0
646497755,2
1147954381,0
1154029144,0
1038901040,0
1057922674,0
633301743,0
648013514,0
10427412292,0
1395432178,1
1152495363,0
3164683998,0
334768232,0
1152508077,0
1152750506,0
336020538,0
1423865954,0
362630320,0
1152598533,0
1131009197,0
1152808420,0
395146085,0
1033086130,0
3116324887,0
1032669987,0
344988393,0
639526727,1
639623066,0
58913914,0
646926948,0
1435317549,0
1129555985,0
1387458262,2
1133593387,0
114245453,0
1149191740,0
1152402423,0
1150117889,0
3152145783,0
1438868168,2
1153023410,0
742362255,0
732813181,0
1060033697,1
3446601661,0
335191917,0
10213102890,0
587681402,0
335841383,0
571004710,0
571981811,0
3151440762,0
810658112,0
1145995385,0
398228735,0
370592802,0
5108554385,1
1142658567,1
1138256946,0
1300234904,0
1154151294,0
1035259745,2
1154312194,0
1149023150,0
1152422970,0
1452269650,0
395631889,0
580394562,0
639828462,0
7393844614,2
646090157,0
752358586,0
619358542,0
1150686396,0
643864939,0
636127826,0
1037132677,0
614857617,0
612319410,0
610357584,0
69706757,0
633161160,0
813424577,0
814805509,0
86355416,0
824192151,0
610364693,0
816034885,0
1019761770,0
812027264,0
1036465497,0
610856881,0
712484514,0
628940301,0
810036721,0
617750291,0
631904815,0
109175858,2
1018827340,0
633991614,0
712756372,0
629958195,0
451443454,0
435406452,0
810072312,0
109419506,0
10219824192,0
1010098539,0
826596114,0
825262382,0
820802696,1
3116556059,0
131858371,0
87598486,0
333331451,0
1150598481,0
1150571226,0
1148427131,1
819559019,0
810307513,0
467882961,0
821133481,0
831085310,0
85864555,0
462285411,0
85049738,0
86106974,0
819244641,0
87637330,0
1396284291,0
758871358,0
1153277252,0
749898878,0
7220411884,0
7418125417,0
7391064301,0
1419265785,0
398221633,0
368187297,0
3152218638,0
392359735,0
1153138347,0
131093045,0
1152304207,0
1154305651,0
1147834122,0
7393539900,0
1129349613,0
1141435015,0
19204811,0
338091927,0
6165034650,0
86638143,0
8299389817,0
6431517253,0
626302435,0
1389464970,0
6297766488,2
1152996358,0
1038333766,0
636465959,0
332641501,1
716545171,2
7439120340,0
1145376667,0
6386009146,0
727726426,0
16607817,0
1152643669,0
1132919891,0
7417395519,0
6431511710,0
469152233,0
753015066,2
757646511,0
1150775580,0
1442583965,1
6442315850,0
7411789422,0
1143220740,0
726664212,0
7412422316,0
395531999,0
123750879,0
751216421,0
5108236112,0
10444294750,0
1034299186,1
1072410484,0
639810762,0
810054175,0
10452580869,0
3213718868,0
10433207837,0
744227137,0
7424041637,0
1029425137,0
731284494,0
7403370736,0
1154266796,0
1035371040,0
1153540155,0
755201126,0
1152389852,0
3117707411,0
1032828303,2
1033852790,2
1154297091,0
1137147616,0
1152288253,0
1026302294,0
1152374411,0
648081843,0
3378318723,0
1380573802,2
1153881252,0
563278257,0
611987748,0
337258924,0
327351792,0
10395047169,2
373239839,2
1148724689,2
1153116691,0
384511020,2
1134298349,0
132498781,0
1143307627,2
1153923500,0
382218986,0
3393297498,0
10121838811,0
8165371630,0
89790717,0
59679075,0
398133203,0
1154356444,0
1152426818,0
1068189983,0
10151877659,0
332075356,0
10151498164,0
5417868965,0
1152523629,0
563291686,0
1132387455,2
564086710,0
568419407,0
5404228406,0
580334029,0
1152891922,0
121557038,0
641242631,0
1037654200,0
648074995,0
467622202,0
6449251111,0
643482307,0
630434738,0
635769712,0
613653226,0
647714639,0
1038771296,0
819420038,0
8299858791,0
641432758,0
820015274,0
87406346,0
640226889,0
88432525,1
69447822,0
361514461,0
109429685,0
642191821,0
7433072204,0
610618897,0
384576546,0
1039625797,0
641618240,0
86107838,0
10377482752,1
10410574447,0
821301091,0
621956028,0
611125319,0
639838651,0
1012005282,0
108091448,0
106406784,0
814225886,0
824950393,0
1149101299,0
106635632,0
1152460690,0
1427148521,0
338093905,0
89572966,0
109925404,0
88164870,0
811800121,0
822388609,0
8297131718,0
826720163,0
818410122,0
88450676,0
8390489745,0
85868794,0
7400754044,0
77716501,0
1152638385,0
74682159,0
756446778,0
718089041,0
75581319,2
1213828261,0
3112444966,0
3103880136,0
1153593068,0
1148249042,2
1146068284,0
10152932770,0
1136974288,0
129053560,0
10152958009,0
10444663309,0
1154201771,0
1153262454,0
1390759895,0
335154007,0
65847105,0
1128885026,0
1153990122,0
1152920177,1
1045159873,1
1400547336,2
635864647,0
1165766461,1
1031735460,1
7409218470,2
1148658284,0
15947849,0
6379013095,0
724544465,0
7299718795,0
1152580819,2
1148298209,0
7394511929,0
1142195322,0
1046683459,0
67054908,0
1148424518,0
1141574577,0
1143986213,0
648666982,0
7432537691,0
731280910,0
734686832,0
4406493388,0
1153577520,0
1032831465,1
6378010075,0
1134490184,0
1152424330,0
647639220,0
756164326,0
6394766619,0
3426952476,0
1031973834,0
1038761955,2
637131742,0
3414812663,0
1152634925,0
10435463890,0
133012360,0
1403503549,0
1154238186,0
1152376269,0
1152585019,0
1143032026,0
1143672267,0
1152616131,0
1153833766,0
1153839564,0
1154344900,0
1153217678,0
10377712219,0
647860029,2
1147902738,0
1134983428,2
610859807,0
3400350343,0
630978318,0
639046893,0
1034961977,1
59685020,0
734135397,0
1149239804,0
1152431834,1
1128790912,0
1152650924,1
1152627325,0
8379812905,0
1153526029,0
1146629616,0
363770659,0
3104041182,0
1135151691,0
564456499,0
5381770757,0
335974326,0
55487852,0
360027884,0
5108451909,0
1152655798,0
571042679,0
334060927,0
370585520,0
5121750940,0
1146977066,0
593490698,0
1153102487,0
1138112048,0
641304246,0
7408359681,0
634888204,0
638948664,0
1146917459,0
1047206245,2
633004515,0
815736775,0
8421493311,0
818868343,0
751026111,0
398604150,0
109118998,1
737100371,0
819855324,0
637454445,0
811997522,0
1021349938,0
78510449,0
634794305,0
822956773,0
715548332,0
7432773542,2
753058528,0
1149122128,0
106819140,0
457196725,0
104804910,0
87072835,0
345621531,0
815391878,0
818376824,0
831248180,0
1146540180,0
104983091,2
1164554137,0
8413556262,0
829676395,0
4453897241,0
1033138258,2
1130698714,0
1139792020,0
1152840938,0
1381029645,0
1146749456,0
1153056823,0
10124849010,0
132439144,0
1154300885,0
1153220246,1
1153630015,0
19007264,0
153502552,0
1033001152,2
1129756955,0
621447730,2
1153498162,0
15835178,0
1154266688,0
1152894964,0
1396277255,0
729291586,0
7394805569,0
1152328329,0
1145674506,0
1136991451,0
1152569554,0
1149342474,0
7453820464,0
732368715,0
632322057,0
1152465518,0
1383828105,0
1133874741,0
1154143159,0
1044610870,1
717617906,0
725090314,0
738030842,0
5395450603,0
617760498,0
623044752,2
7426799035,0
1036044259,0
3421372606,0
7442318715,0
633315706,0
1034300602,0
734206545,0
718136227,0
7440915516,0
616174521,0
1154275752,0
647980829,0
3104180441,0
647154226,0
756634304,0
10448232171,0
1032588751,2
1154232356,0
1153896417,0
1152787194,0
1152588405,0
1042478337,0
1153734838,0
1152479494,0
1153870351,0
1151166638,0
629976795,0
1384097701,0
633998801,0
6438193164,0
572391080,0
10423830831,0
56556934,0
1069429182,0
568335817,0
727219455,0
1149305399,0
1152731161,0
3430511662,0
386964175,0
5383740599,0
1147275031,0
5434531928,0
1153034085,0
815903649,0
373096510,2
3152060203,0
567188887,0
5108179677,0
363815125,0
1147540660,0
10124059090,0
1152305219,1
566379033,2
587679659,0
1152703192,1
565221572,0
1034163638,2
1384840138,2
3152080979,0
1126712529,0
3151556434,0
565995888,0
5104658489,0
569599609,0
1139162153,0
5105203039,2
565216604,0
759813275,2
10220917007,0
633142612,0
625242299,0
1154393930,0
645767797,0
644881407,0
1034631747,1
612911089,0
823892998,0
721815129,0
1041246162,2
644435870,0
3413171650,0
826390016,0
611982936,0
815726616,0
89107352,0
610859962,0
86109077,0
745510914,0
67054682,0
635767212,0
737404787,0
752103830,0
642306162,0
740173980,0
637831658,0
78231356,0
86173864,0
109860786,0
732306943,0
1013201967,0
757054438,0
714712016,0
738030859,0
108639425,0
4213097525,0
1150266271,0
155452029,0
10428646178,2
823279883,1
1427809846,0
821912380,0
108359296,0
87009940,1
810492576,0
86168125,0
1152438620,0
829473266,0
1129598334,0
417957604,0
636840804,2
4388403437,0
1027040402,0
461283078,0
822643799,0
432939530,0
459416008,0
1014380968,0
84925443,0
1154285112,0
361130022,0
821944419,1
344987710,0
1063142787,2
86308092,0
5404322192,0
88832073,0
88622622,0
5123922946,2
3101297434,0
86404599,0
826400415,0
523552710,2
87767399,0
529908721,0
4396524302,0
89101739,0
88445369,0
456965792,0
563330356,0
446463853,0
1023352234,0
87824645,0
5424469578,0
5112903100,0
512876368,0
580998992,0
5413142789,0
58918207,0
5403943941,0
436614240,0
459423596,0
87069271,0
599606819,0
1146631463,0
1140339836,2
1011464183,0
89738150,0
89710520,0
1152560415,0
441641423,0
733056323,0
360602492,0
7394768696,0
1081193642,0
727698517,0
10444015447,0
5440559882,0
1053190456,0
567179934,0
5386255045,0
366879781,0
463465234,0
1039912231,0
3151866848,0
7436391616,0
10433164734,0
3152015696,0
75748189,0
5377436606,0
733205927,0
75412221,0
3420565669,0
1153013408,0
722883466,0
106256455,0
571182665,0
529949657,0
5101953706,0
518922575,0
746989137,0
571007040,0
732891756,0
750288008,0
3433337064,0
6377081311,0
67053161,0
567451418,1
620858829,0
329067409,0
1024009170,0
1153102654,0
1148239045,0
366944001,0
1153628574,0
1145432183,2
334696594,2
3383075915,1
448364712,2
471497567,1
814598211,0
8403786486,0
361587921,0
88837335,0
3100973487,0
360542576,0
362642796,0
8415076177,0
333703111,0
3379408771,2
421622071,0
334523235,0
8392493071,0
1032385089,0
1010643377,0
486225041,0
4407746996,0
820052904,0
8446588347,0
811226953,0
370500711,0
369465555,0
817709235,0
1394131888,0
813457609,0
57534020,0
521034297,0
435494605,0
345978450,0
333968669,0
395482603,0
472536265,0
811141974,0
335680068,0
810904632,0
3391953162,0
811442261,1
610361023,0
447368538,0
4103438458,0
3110589858,0
3116179417,0
741088319,0
461287067,0
752610957,0
438126410,0
636134697,0
643295285,0
120840589,0
435660664,0
1153865904,0
1144006556,2
8440832890,0
465610926,0
1152627591,1
634942085,0
1152456414,0
1154213793,0
10439604984,0
828996889,0
458555545,0
754876801,0
750776246,0
10377483098,2
1153986420,0
740687162,0
8389212528,0
8441148217,0
76248219,0
481744290,0
376288692,2
1148968455,0
366835294,0
450915354,0
87828791,0
46146381,0
448914301,0
3151924616,0
1153939584,0
485763127,0
3106774229,0
330762822,0
111958139,0
1068024279,1
588181346,0
107502176,0
1014050271,2
820356449,0
8296726488,0
826748073,1
8398385783,0
7296789568,0
825205287,0
824083246,0
85173673,0
824126090,0
731836801,0
754566481,2
472806949,0
8393274514,0
108990535,0
1147520754,0
820569632,0
817488305,0
344666283,0
86349481,0
10401627615,0
5114873747,0
831461908,0
336158066,0
4398754254,0
389255249,2
463657307,0
810738905,0
84918024,2
4405499739,0
4387506068,0
1152753265,0
5421290081,0
814238635,0
8435832568,0
452374430,0
5404800337,0
563179697,1
595901530,1
811593820,2
5411506876,0
516460018,0
10121462169,0
563340963,0
585007837,0
443645881,0
5121131212,0
5119975518,0
830852669,0
830213043,0
1142795651,0
88350012,0
449794169,0
87584460,0
86644256,1
7440534901,2
575216582,0
573955934,0
5297819747,0
5414311702,2
750751570,1
716499034,0
731287973,0
333471993,0
750194645,0
1016506662,0
595930676,0
374716330,0
1021220050,0
3298896131,0
562154285,0
733508427,0
5443866520,0
525774026,0
1052152874,0
360054951,0
712166774,0
7403790609,0
56200991,0
1056759577,2
1407651728,0
1420229871,0
744659750,0
1018108071,0
1045153405,2
7394999416,1
568272460,0
756149675,0
3436144276,0
520319464,0
335631302,0
345268637,0
566355856,0
1046236363,0
10448455414,2
3152263312,0
639023559,0
750360491,0
68083103,0
3116293436,0
637128869,0
366949612,0
3403229606,0
333963096,0
395417436,0
1152738546,0
3296630795,0
360027531,0
3389160026,0
336155417,0
1153017908,0
436359703,0
1138073395,0
3426893383,0
824585332,0
1033166012,0
4388981551,0
443375005,0
411738362,0
3151714056,0
346050896,0
817656224,0
10444178299,0
10423817589,1
333870032,0
345277416,0
10443469736,2
1011257539,2
3151378444,1
8390014198,0
827382624,0
3380087217,0
828687319,0
3424904335,0
3379759065,0
435560377,0
3117864894,0
444779090,0
370467943,0
437796440,0
494130071,0
8414160790,0
3152196408,0
831235141,0
373187110,0
827038729,0
3213123315,0
48153486,0
1016023455,0
104703982,2
8419193347,0
416875543,0
331881515,0
829643569,0
457954865,0
816182481,0
816418139,0
6432209956,0
632589018,0
811443733,0
646236327,0
8417442869,0
108162739,0
369306730,2
644120788,0
77715958,0
7428724284,0
7386499043,0
733202493,0
432422161,0
4438553551,0
4425471302,0
1147528149,0
467833935,0
434264801,0
444061715,1
1153891548,0
133272013,0
1153086185,0
1423285814,0
1153210462,0
1153796674,0
4297125251,0
104990762,0
8436353049,0
1024467368,0
1154345268,0
477545463,0
84493725,0
108117274,0
732550301,0
334283363,0
753001995,0
345487008,0
369413680,0
362568540,0
474401208,0
438524857,0
461376421,0
4406044989,0
469199983,2
361588251,0
333644027,0
1153614676,0
1153890894,0
640651746,0
362693799,0
10154365832,0
1152969764,0
455336469,0
378060292,0
10154307491,0
1149188804,0
8385897880,0
86409990,0
474359677,0
821156640,0
635942399,0
829346688,0
491100411,0
414570508,0
484081571,0
828818811,0
821530171,0
830138929,0
10299399908,0
830326852,0
87921966,0
828616216,0
812719511,0
821146095,0
86600167,0
818730811,0
815200174,1
3104617622,0
366959787,0
333521051,0
446834873,0
55703331,1
338148672,0
86057787,0
439186013,0
5122183840,0
88303148,0
415822945,0
5120098917,0
89175556,0
830858120,0
1152809065,0
89110680,1
566249049,0
5108098834,0
511293138,0
89246631,0
4396351964,0
415825538,0
1072035368,0
519914069,0
450812440,0
444355269,0
5115606803,0
510752390,0
419465502,0
437887019,0
85065442,0
86793280,0
7297787761,0
86638210,0
593316798,0
569511817,0
5389093163,0
345327443,0
511279315,0
754886976,0
1037008765,0
450376902,0
3401249474,0
587508522,0
398610325,0
733509007,0
433262133,0
443657926,0
741234705,0
738319104,0
1047537813,0
1044521877,0
318076906,0
732984737,0
1134183807,0
758280823,0
722310693,0
752352732,2
737406983,0
724530879,0
389988398,0
7427704434,0
7415090365,0
337399663,0
1051756555,0
1153656492,0
10436779486,2
567483133,0
5102138486,0
1027728461,0
562969851,0
3151542685,0
747396393,0
711891494,0
593319203,1
336145131,0
7388558058,0
637546342,0
746724145,1
759192921,0
373132034,0
1152729196,0
366970395,0
324870701,0
3441598367,0
371761258,0
1153784615,0
1028043949,0
8440463831,0
451042603,0
812134048,0
1022929786,2
3114358460,0
817811904,0
3387669825,0
3435749287,0
811713871,0
8414905023,0
1064858087,0
346057253,0
86417612,0
336370110,0
1032687580,0
824051243,0
432204971,0
827998923,0
361543288,0
468929906,0
86824625,0
3114413152,0
827111679,1
10441781307,0
1071729740,2
486646983,0
820517034,0
10151593415,0
8404459702,0
810496922,0
3427326005,0
3151777927,0
10445829432,1
8407984969,0
810243308,0
819212030,0
460924180,0
5413139988,1
817703349,1
333521182,0
822257991,0
590339576,1
1013673507,2
569716615,0
5102455302,0
5118168197,0
8420510893,0
571131320,0
345274831,0
1031647694,0
8408342554,0
1039695372,0
381934901,0
1036468747,0
10441397249,0
384315217,0
447370146,0
1035159752,0
6414386918,0
491641503,2
1410864311,0
1437977028,0
4100634105,0
440166268,0
755641763,2
4105979963,0
457820000,0
444075340,0
1149556109,0
457697815,0
1164615233,0
1419234808,0
1153823417,0
1400880639,0
1154347230,0
636843157,0
4422741652,0
7437910161,0
438010135,0
368152503,0
75749047,0
632663444,0
460948637,2
333224701,0
4100591411,2
86837477,2
361457164,0
811313757,0
1386959556,0
5418060677,0
1152394471,0
566136225,0
459045818,0
1408126236,0
3114420881,0
1154145220,0
345983579,0
345839297,2
460936559,0
7409273335,0
829144829,0
467792312,0
630981404,0
827097707,0
86114326,0
85306167,0
751017244,0
813549050,0
4421736258,0
820397923,0
4102747273,0
828026691,0
107823140,0
84435447,0
344990177,1
3151375211,0
3393589088,2
828012755,0
378033067,0
467755213,0
3151507396,0
84498059,0
4386442560,0
337468122,0
819854267,0
336730449,0
467985704,0
523548380,0
1065370566,0
4100435842,0
816625708,0
88620549,0
8394456401,0
8397444651,0
810045121,0
59686771,0
565070810,0
563114631,0
435892992,0
434753504,0
523586104,2
5124267589,2
1012299199,0
460937193,0
47105103,0
474400925,0
5124354532,0
431129347,0
5418171599,0
590086395,0
574796009,0
449399238,0
1154410284,0
58574119,0
87642699,0
750020520,0
830714462,0
715993422,0
87129105,0
566991815,0
89392507,0
568262695,0
78763282,0
4434216825,0
7391281870,0
758748768,0
1024893092,0
1426541468,0
462381145,0
332736657,0
387047113,2
7299885406,0
77973179,0
494063770,0
571173630,1
7384242123,0
1044994940,0
736715470,0
1152504615,0
751020471,2
584809575,0
1386383596,0
578585831,0
314536162,0
1153495680,2
3398532523,0
734938436,0
736998636,0
333172641,0
1032887642,0
1045231764,0
68867277,0
3100663550,0
7387262213,0
3384067742,0
3411158408,0
1147783229,0
362674165,0
3107446141,0
333966199,0
6165052947,1
3151771241,0
336199115,0
1153201422,0
3426967017,0
472886097,0
8392376211,0
8427282895,0
1069403179,0
4164188414,0
338017427,0
1071727844,2
817713524,0
336800921,0
4407163959,0
1061138221,0
827760977,0
3424333692,0
108169130,0
338096630,0
814063342,0
369424965,0
8427885200,0
320465690,0
10151817084,0
4408511558,0
8440904165,0
8412997217,0
817652727,0
105803897,1
810817569,0
818362418,0
85479836,0
3106738885,0
389690984,0
1012135365,2
822749040,0
392247088,0
8422983549,0
429619320,0
329062117,0
1010901807,0
1092635712,0
10449971131,0
523608167,0
8407987190,0
368130873,0
3151576209,1
610149614,0
491189290,0
1153998257,0
3106657893,2
3399105835,0
337912549,0
469992840,2
736110287,0
474105238,0
1401369789,0
1150885131,0
4421919106,0
433495778,0
1153191934,0
1154337529,0
1153834350,0
10421126616,0
429082901,0
7394089320,0
486365386,0
346056199,0
364810541,2
4390908751,0
7393553823,0
3433838673,0
472779959,0
810808312,0
336270882,0
1016348520,0
8299741294,2
815889689,0
472946885,0
371764549,0
373154746,0
360018112,0
325937955,0
460944059,0
1134439597,0
3164338659,0
826560102,0
8390479207,2
827041295,0
819105086,0
819412827,0
824934449,0
8454489082,0
822728850,0
